Distance from dealer,Sales Source,Free Shipping Cost,Stock Number,Car Class,Body,Color,Year,Make,Model,Mileage,Age,Trade ACV,Acquisition Cost,RECONDITIONING COST,Total Cost,Sale Price,Front Gross,Financing,warranty,insurance,other_products,Theft,Ultimate,Dent/Ding,Windshield,Tire/Wheel,Roadside,Bank Fees,Back Gross,Total Gross
217.66,eBay,200,4D283525,"SUV, Compact Sport Utility",4D Sport Utility,Blue,13,JEEP,CMPSS,20677,12,0,13735,1130.65,15333.65,15980,771.35,435.96,1000,0,0,0,,,,,,,1435.96,2207.31
223.951,eBay,0,2E537224,"Car, Intermediate",4D Sedan,Black,13,VW,CC,28927,167,0,21675,2219.5,24362.5,19576,-4661.5,593.46,0,242,200,125,550,,,,200,,1910.46,-2751.04
92.895,Cargurus,0,9R148440,"SUV, Luxury Sport Utility",4D Sport Utility,Black,14,CADI,ESCAL,4562,36,19000,63000,439.86,63907.86,66980,3197.14,0,0,0,0,0,,,,,,,0,3197.14
35.138,eBay,0,3G295481,"Truck, Large Pick-up",4D Crew Cab,Blue,12,CHEV,SILV15,7545,108,0,34675,665.03,35808.03,34871,-812.03,747.72,0,196,200,125,,,,,,,1268.72,456.69
996.992,Referral,550,1S766941,"Car, Luxury Sport",2D Coupe,,11,PORS,911,9074,14,0,110000,2487.22,112955.22,115980,3149.78,0,0,,,,,,,,,,0,3149.78
290.368,EMAIL,200,5Z125403,"Truck, Large Pick-up",2D Standard Cab,White,12,CHEV,SILV15,11585,19,0,15775,857.01,17100.01,17980,1004.99,0,0,0,,,,,,,,,0,1004.99
251.08,EMAIL,200,3N651304,"Car, Intermediate",2D Convertible,Black,13,CHRY,200CH,7111,82,0,22875,857.66,24200.66,24980,904.34,0,0,0,,,,,,,,,0,904.34
36.957,Cargurus,0,2Y115074,"Car, Sport",2D Convertible,Gray,8,PONT,SOLST,2611,37,0,14275,401.5,15144.5,17000,1980.5,0,0,0,,,,,,,,,0,1980.5
5.168,eBay,0,58V65401,"Car, Luxury High",4D Sedan,,14,JAGU,XJ,12500,9,2000,65000,2195,67663,69980,2442,1215.65,0,0,200,125,,,,,,,1540.65,3982.65
13.654,eBay,0,1H542031,"SUV, Compact Sport Utility",4D Sport Utility,,14,SUBA,FOREST,6049,139,0,27000,1199.39,28667.39,26990,-1552.39,0,1000,242,,,,,,,,,1242,-310.39
36.957,Unknown,0,2m213014,"Car, Luxury",2D Coupe,Gray,11,INFI,g37,14812,93,0,25000,2393,27861,27780,-81,0,0,,,,,,,,,,0,-81
36.957,eBay,0,5kd41628,"Truck, Large Pick-up",4D SuperCrew,Green,12,ford,f-150,29898,30,0,33000,2472,35940,37580,1640,0,0,,,,,,,,,,0,1640
36.957,Unknown,0,3c337749,"Car, Luxury High",4D Hatchback,White,11,bmw,535gt,12976,63,0,33000,1845,35313,36780,1467,0,0,,,,,,,,,,0,1467
1348.943,eBay,600,9G278558,"Truck, Large Pick-up",4D Crew Cab,White,14,GMC,SIER15,14488,51,0,33000,2253.69,35721.69,35980,383.31,1396,0,,200,125,,,,,,,1721,2104.31
955.553,eBay,600,3H283788,"Car, Intermediate",4D Station Wagon,Black,6,DODG,MAGN,3250,82,0,24600,4382.07,29450.07,29980,654.93,286.94,0,,,,,,,,,,286.94,941.87
867.033,eBay,550,3LK27332,"SUV, Luxury Sport Utility",4D Sport Utility,Gray,12,BMW,X5M,7983,56,31500,62730,1419.23,64617.23,65990,1497.77,0,0,,,,,,,,,,0,1497.77
262.996,Cars.com,200,3G210474,"Truck, Large Pick-up",4D Sport Utility,Black,12,CADI,ESCALX,38650,55,0,43000,1330.22,44798.22,46990,2316.78,0,0,,200,125,,,,,,,325,2641.78
24.657,eBay,75,2DA80069,"Van, Full Size Vans",Cargo Van,White,13,FORD,E250,11821,50,0,18345,945.92,19758.92,19980,346.08,265.44,1000,,,,,,,,,,1265.44,1611.52
34.695,Cargurus,75,9A296084,"SUV, Luxury Sport Utility",4D Sport Utility,,11,LAND,RGRVSP,29237,35,0,46000,830.18,47298.18,48000,826.82,0,0,,,,,,,,,,0,826.82
6.825,Cars.com,0,5FA10917,"Truck, Large Pick-up",4D SuperCrew,Gray,13,FORD,F150,24527,8,0,38395,1177.26,40040.26,39980,64.74,0,0,,,,,,,,,,0,64.74
0,Unknown,0,3N473401,"Car, Intermediate",4D Sedan,Gray,13,NISS,ALTIMA,11278,87,0,15690,545.05,16703.05,16980,401.95,1127.45,1000,242,200,125,,,,,,,2694.45,3096.4
28.356,Cars.com,0,1A561820,"SUV, Luxury Sport Utility",4D Sport Utility,,11,LAND,LR4,36146,14,18000,36500,1054.71,38022.71,38980,1082.29,556.08,1000,,200,125,,,,,,,1881.08,2963.37
36.957,Unknown,0,3kg23241,"Truck, Large Pick-up",4D Extended Cab,Silver,13,ford,f-150,3152,100,0,22250,880,23598,22700,-898,0,0,,,,,,,,,,0,-898
36.957,Unknown,0,1wl79005,"SUV, Compact Sport Utility",4D Sport Utility,,11,mini,cooper,56311,102,0,17500,768,18736,18780,44,0,0,,,,,,,,,,0,44
36.957,Unknown,0,36279982,"SUV, Compact Sport Utility",4D Sport Utility,Black,13,gmc,terrain,10194,107,0,19375,754,20597,19780,-817,0,0,,,,,,,,,,0,-817
168.315,eBay,200,3L714557,"SUV, Luxury Sport Utility",4D Sport Utility,Red,11,BMW,X3X28I,42894,170,5000,28000,852.2,29320.2,26000,-3195.2,0,0,0,,,,,,,,,0,-3195.2
24.657,eBay,50,2A717413,"Car, Luxury High",4D Sedan,Silver,13,MB,E350W4,5825,115,0,39345,437.5,40250.5,38990,-1135.5,0,0,0,200,125,,,,,,,325,-810.5
1395.375,eBay,0,5A783487,"SUV, Luxury Sport Utility",4D Sport Utility,,13,LAND,RGRVSP,25825,15,0,51695,862.58,53025.58,54980,2079.42,0,0,0,200,125,,,,,,,325,2404.42
190.739,EMAIL,0,2F097984,"Car, Luxury High",2D Convertible,Red,11,MB,E350A,42813,92,0,34000,1035.7,35503.7,35980,601.3,0,1000,0,200,125,,,,,,,1325,1926.3
